id,cfu,parte,categoria,front,back,topics,source
51,both,2,Planning e situation calculus,Situation calculus: fluenti e assiomi,"FLUENTE: proprietà o relazione che CAMBIA con la situazione (On(A,B,s)); la situazione è un argomento esplicito.
Assioma di APPLICABILITÀ: precondizioni perché l'azione sia eseguibile nella situazione s.
Assioma di EFFETTO: che cosa diventa vero dopo l'azione.
Assioma di FRAME: che cosa NON cambia eseguendo l'azione.
FRAME PROBLEM: esplosione del numero di assiomi frame necessari; si mitiga con gli assiomi di stato-successore.
Trappola: 'assioma di minimo regret' e 'assioma di congruenza' NON esistono nel situation calculus.",situation_calc|assioma_eff|assioma_appl|frame_axiom|frame_problem|planning_facts,sisint1
52,both,2,Planning e situation calculus,Anomalia di Sussman,"Esempio (tre blocchi) in cui perseguire un sottogoal DISFA un sottogoal già raggiunto: i sottogoal NON sono indipendenti.
Conseguenza: la pianificazione non è sempre lineare; servono pianificatori capaci di intrecciare i piani dei sottogoal (interleaving).",sussman,sisint1
53,both,2,Ontologie e KR,"Tassonomia, ereditarietà, ontologia","TASSONOMIA: organizzazione GERARCHICA di categorie tramite relazioni IS-A.
EREDITARIETÀ: le sottoclassi ereditano le proprietà delle sovraclassi (gli Uccelli volano -> l'Aquila vola), salvo eccezioni esplicite.
ONTOLOGIA: insieme di CONCETTI e RELAZIONI di un dominio (una rete semantica): più ricca di una semplice gerarchia.",tassonomia|ereditarieta|ontologia|ont_descr,sisint1
54,both,2,Ontologie e KR,IS-A vs MEMBER,"IS-A(C1,C2): C1 è SOTTOCLASSE di C2: relazione fra CATEGORIE, transitiva ('il Dalmata è un tipo di Cane').
MEMBER(P,C): P è ISTANZA della categoria C: individuo vs classe ('Pongo è un Dalmata').
Trappola d'esame: distinguere istanza-classe (member) da classe-classe (is-a).",is_a|member|categorie_pred|is_a_member,ontologie
55,9,2,Ontologie e KR,Part-of e bunch-of,"PART-OF(x,y): x è parte di y; relazione TRANSITIVA (dito parte della mano, mano parte del braccio -> dito parte del braccio).
BUNCH-OF({a,b,c}): l'oggetto COMPOSTO che ha come parti a, b e c, SENZA specificare le relazioni fra le parti.",part_of|bunch_of,sisint1
56,9,2,Ontologie e KR,"Disjoint, decomposizione esaustiva, partizione","DISJOINT(S): le categorie di S sono a coppie DISGIUNTE (nessuna istanza in comune).
EXHAUSTIVEDEC(S,C): decomposizione ESAUSTIVA: ogni istanza di C appartiene ad ALMENO una categoria di S (possono sovrapporsi!).
PARTITION(S,C) = Disjoint + ExhaustiveDec: disgiunte E coprono C.
Trappola: 'esaustiva' NON implica disgiunzione; la partizione richiede entrambe.",disjoint|exhaustive|partition|ontologia_partition,sisint1
57,both,2,Ontologie e KR,"RDF, OWL, Semantic Web","RDF: conoscenza espressa come STATEMENT/TRIPLE soggetto-predicato-oggetto.
OWL: linguaggio W3C per ontologie del semantic web; descrive l'ontologia con tre tipi di elementi: ENTITÀ (riferimenti a oggetti del mondo reale), ASSIOMI (statement di base), ESPRESSIONI (combinazioni di entità).
SEMANTIC WEB: estensione del WWW in cui i contenuti sono arricchiti da METADATI che abilitano interpretazione automatica, inferenza e interrogazione.
Interrogazione tipica di un'ontologia: un'istanza appartiene a una categoria? gode di una certa proprietà?",rdf|owl|semantic_web|interrogare_ontologia,sisint1
58,9,2,Ontologie e KR,Allineamento di ontologie,"EQUIVALENTI: condividono vocabolario e assiomatizzazione, anche se espresse in linguaggi diversi.
ESTENSIONI: O2 preserva tutti i simboli di O1 (con proprietà e relazioni) ma non viceversa: O2 estende O1.
STRONGLY-TRANSLATABLE (O_source in O_dest): vocabolario totalmente mappabile, assiomatizzazione resta valida, SENZA perdita di informazione né inconsistenze.
WEAKLY-TRANSLATABLE: traduzione possibile ma CON perdita di informazione.",allineamento|allineamento_match,sisint1
59,9,2,Probabilità e reti bayesiane,Spazio campionario e assiomi della probabilità,"Spazio campionario Omega: insieme degli ESITI ELEMENTARI, mutuamente ESCLUSIVI ed ESAUSTIVI (se ne verifica esattamente uno).
Funzione di probabilità: ogni esito ha 0 <= P <= 1; la somma su tutti gli esiti è 1; P(evento) = somma delle probabilità dei suoi esiti.
Trappola: gli esiti NON devono essere equiprobabili né 'indipendenti': le proprietà richieste sono mutua esclusività ed esaustività.",spazio_campionario|prob_assiomi,sisint1
60,9,2,Probabilità e reti bayesiane,Variabile aleatoria,"Funzione che associa a ogni esito dello spazio campionario un VALORE di un dominio (booleano, discreto, continuo), con una distribuzione di probabilità associata.
Esempi: Dado con valori {1..6}; Pioggia con valori {vero, falso}.",variabile_aleatoria|aima_prob,sisint1
61,9,2,Probabilità e reti bayesiane,"Probabilità condizionata, regola del prodotto, priori/posteriori","P(A|B) = P(A and B) / P(B), con P(B) > 0.
REGOLA DEL PRODOTTO: P(A and B) = P(A|B) · P(B).
A PRIORI: probabilità prima di osservare evidenza. A POSTERIORI: aggiornata dopo l'evidenza (probabilità condizionata sull'evidenza).",prob_cond|regola_prodotto|priori_posteriori,sisint1
62,9,2,Probabilità e reti bayesiane,Indipendenza e indipendenza condizionata,"X e Y INDIPENDENTI sse P(X,Y) = P(X)·P(Y) (equivalente: P(X|Y) = P(X)).
X e Y CONDIZIONATAMENTE indipendenti dato Z sse P(X,Y|Z) = P(X|Z)·P(Y|Z).
L'indipendenza condizionata è ciò che rende compatte le reti bayesiane.",indipendenza|cond_indep,sisint1
63,9,2,Probabilità e reti bayesiane,Teorema di Bayes,"P(A|B) = P(B|A) · P(A) / P(B).
INVERTE il condizionamento: dalla verosimiglianza P(effetto|causa) e dal prior P(causa) si ottiene P(causa|effetto).
Base della diagnosi e della classificazione bayesiana.",prob_bayes,sisint1
64,9,2,Probabilità e reti bayesiane,Distribuzione congiunta completa,"Assegna una probabilità a OGNI combinazione di valori delle n variabili: con n variabili booleane, 2^n celle (2^n - 1 parametri liberi).
Crescita ESPONENZIALE: è il motivo per cui si usano le reti bayesiane (sfruttano le indipendenze condizionate).",prob_completa,sisint1
65,9,2,Probabilità e reti bayesiane,Rete bayesiana e CPT,"DAG: nodi = variabili aleatorie, archi = influenze dirette (genitore -> figlio).
Ogni nodo ha una CPT (Conditional Probability Table): P(nodo | genitori).
COMPATTEZZA: con n nodi binari e al più k genitori ciascuno: al più n·2^k parametri, contro i 2^n della congiunta completa.",bayes_net|cpt|bayes_compatta|bayes_num,sisint1
66,9,2,Probabilità e reti bayesiane,Semantica globale e locale di una rete bayesiana,"GLOBALE: la congiunta completa si FATTORIZZA sulla struttura della rete: P(x1,...,xn) = prodotto su i di P(xi | genitori(Xi)) (chain rule).
LOCALE: ogni nodo è condizionatamente indipendente dai suoi NON-DISCENDENTI dati i suoi genitori.
Le due semantiche sono equivalenti.",semantica_globale|semantica_locale|bayes_chain|bayes_facts,sisint1
67,9,2,Probabilità e reti bayesiane,Markov blanket,"Coperta di Markov di un nodo X: i suoi GENITORI + i suoi FIGLI + i GENITORI DEI FIGLI.
Data la coperta, X è condizionatamente INDIPENDENTE da tutto il resto della rete.",markov_blanket,sisint1
68,9,2,Probabilità e reti bayesiane,Naive Bayes,"Classificatore bayesiano che assume gli attributi CONDIZIONATAMENTE INDIPENDENTI data la classe: 'ingenuo' perché l'assunzione è spesso falsa, ma in pratica funziona.
P(C|x1..xn) proporzionale a P(C) · prodotto su i di P(xi|C).
Struttura: la classe è genitore di tutti gli attributi.",bayes_ingenuo,sisint1
69,both,3,Apprendimento: basi e valutazione,Agente che apprende,"Quattro componenti: elemento di ESECUZIONE (sceglie le azioni), elemento di APPRENDIMENTO (migliora il comportamento), modulo CRITICO (valuta le prestazioni rispetto a uno standard e fornisce feedback), GENERATORE DI PROBLEMI (propone esperienze esplorative).",agente_apprende,sisint1
70,both,3,Apprendimento: basi e valutazione,"Supervisionato, non supervisionato, auto-supervisionato","SUPERVISIONATO: ogni esempio del training set ha la classe/target associata: il 'supervisore' è l'ETICHETTA, non una persona. Esempio: spam/non spam con esempi etichettati.
NON SUPERVISIONATO: nessuna etichetta; si cerca struttura nei dati (clustering: segmentare i clienti).
AUTO-SUPERVISIONATO: il segnale di supervisione viene dai dati stessi (un LLM che predice la parola successiva).
Trappola: 'monitorato da un supervisore umano' è il distrattore classico.",supervisionato|supervisionato_def|supervisionato_vs_no|non_supervisionato|ml_tipo,sisint1
71,both,3,Apprendimento: basi e valutazione,Classificazione e tipi di attributi,"CLASSIFICAZIONE: imparare dagli esempi una funzione che assegna a ogni istanza (vettore di attributi) una CLASSE discreta.
Attributi BINARI, NOMINALI, ORDINALI: direttamente trattabili da un albero di decisione; gli attributi CONTINUI richiedono soglie/discretizzazione.",classificazione|attributi,sisint1
72,both,3,Apprendimento: basi e valutazione,"Training set, test set, cross-validation","TEST SET: dati MAI usati in addestramento: unica stima onesta della generalizzazione.
Errore di training basso + errore di test alto = OVERFITTING.
CROSS-VALIDATION (k-fold): ruota la partizione train/validation per stimare le prestazioni in modo robusto, utile quando i dati sono pochi.",training_test|cross_valid|error_test_train,sisint1
73,both,3,Apprendimento: basi e valutazione,"Matrice di confusione, accuratezza, error rate","Matrice: RIGHE = classe reale, COLONNE = classe predetta; la diagonale contiene le predizioni corrette.
ACCURATEZZA = corrette / totale. ERROR RATE = 1 - accuratezza.
Derivabili dalla matrice anche precision, recall, F1. NON derivabili: entropia, livello di confidenza.
Esempio d'esame (3 classi, 100 istanze, diagonale 30+25+30=85): accuratezza 0,85; error rate 0,15. Una classe è 'perfetta' solo se riga E colonna fuori diagonale sono tutte zero (precision = recall = 1).",matrice_confusione|accuratezza|error_rate|modello_classif,sisint1
74,both,3,Apprendimento: basi e valutazione,Matrice dei costi,"Associa un COSTO a ogni cella (classe reale, classe predetta), cioè a ogni tipo di errore o predizione corretta.
Permette di pesare diversamente gli errori (un falso negativo medico è più grave di un falso positivo): si minimizza il costo atteso, non il semplice error rate.",matrice_costi,sisint1
75,both,3,Apprendimento: basi e valutazione,Overfitting e underfitting,"OVERFITTING: il modello impara anche il RUMORE del training set: errore di training molto basso, errore di test alto. Negli alberi: albero troppo profondo e specifico.
UNDERFITTING: modello troppo semplice: errore alto sia in training che in test.
Rimedi all'overfitting: più dati, pruning, regolarizzazione.
Trappola: alta accuratezza SUL TRAINING non garantisce generalizzazione.",overfitting|underfitting|overfitting_facts,sisint1
76,both,3,Apprendimento: basi e valutazione,Bias-variance trade-off,"BIAS: errore dovuto ad assunzioni troppo rigide del modello (troppo semplice -> underfitting).
VARIANZA: sensibilità alle fluttuazioni del training set (troppo complesso -> overfitting).
Ridurre l'uno tende ad aumentare l'altra: si cerca il punto di equilibrio.",bias_var,integrato
77,both,3,Apprendimento: basi e valutazione,Rasoio di Occam e MDL,"OCCAM: a parità di prestazioni preferisci il modello PIÙ SEMPLICE (generalizza meglio).
MDL (Minimum Description Length): scegli il modello che minimizza L(modello) + L(dati|modello), cioè descrizione del modello + errori/eccezioni: formalizzazione del rasoio di Occam.",occam|mdl,sisint1
78,both,3,Apprendimento: basi e valutazione,Rote learning e votazione (k-NN),"ROTE LEARNING (apprendimento meccanico): memorizza le istanze e su una nuova istanza cerca quella identica o più simile; nessuna generalizzazione (antenato del k-NN).
Votazione a MAGGIORANZA: fra i vicini più simili vince la classe più votata.
Votazione PESATA: ogni vicino pesa in modo inversamente proporzionale alla distanza: i più vicini contano di più.",rote_learning|votazione_maggioranza|votazione_pesata,sisint1
79,both,3,Alberi di decisione,Albero di decisione: struttura e regole,"Nodi INTERNI = test su attributi; ARCHI = esiti del test; FOGLIE = classi.
Classificare = far scendere l'istanza dalla radice fino a una foglia.
Ogni cammino radice-foglia si converte in una regola IF-THEN (premesse = i test, conclusione = la classe): l'albero è un modello interpretabile.",alberi_decisione|decision_tree|reg_dt,sisint1
80,both,3,Alberi di decisione,Algoritmo di Hunt,"Costruzione RICORSIVA top-down: se il nodo è PURO (istanze tutte della stessa classe) o non restano attributi -> diventa FOGLIA; altrimenti scegli l'attributo di split migliore, partiziona le istanze nei figli, ricorri.
I figli di uno split PARTIZIONANO le istanze del padre (sottoinsiemi disgiunti ed esaustivi).
Trappola NON SEMPRE: 'il figlio è una foglia' dipende dalla purezza; e il nodo dello split non è necessariamente la radice.",hunt,sisint1
81,both,3,Alberi di decisione,"Entropia, information gain, Gini","ENTROPIA di un nodo: impurità/incertezza della distribuzione delle classi (0 = nodo puro; massima con classi equiprobabili).
INFORMATION GAIN di uno split = entropia(padre) - media pesata delle entropie dei figli: si sceglie lo split che lo MASSIMIZZA.
Indice di GINI: misura alternativa di impurità (1 - somma dei quadrati delle frequenze).",entropia|gain|gini,sisint1
82,both,3,Alberi di decisione,Pruning: pre e post,"PREPRUNING: ferma la crescita dell'albero in anticipo (soglie su gain, supporto minimo, profondità massima). Rischio: fermarsi troppo presto.
POSTPRUNING: costruisce l'albero completo e poi POTA i rami che non migliorano l'errore su un validation set. Più costoso, di solito più efficace.
Entrambi servono contro l'overfitting.",prepruning|postpruning,sisint1
83,both,3,Perceptron e reti neurali,"Perceptron: modello, iperpiano, memoria","Calcola una somma PESATA degli input e applica una soglia/attivazione: codifica un test lineare (w·x >= theta).
Geometricamente: separa lo spazio con un IPERPIANO.
La 'memoria' (conoscenza appresa) risiede nei PESI delle connessioni (e nella soglia), non nella funzione di attivazione.",perceptron|iperpiano,sisint1
84,both,3,Perceptron e reti neurali,Apprendimento del perceptron e limite XOR,"Apprende per CORREZIONE DELL'ERRORE: per ogni esempio classificato male aggiorna i pesi (w <- w + eta · errore · input). Converge SE i dati sono linearmente separabili.
XOR non è linearmente separabile -> IMPOSSIBILE per un singolo perceptron (Minsky-Papert): serve un MLP con strato nascosto.",perceptron_apprende|perceptron_xor|nn_facts,sisint1
85,both,3,Perceptron e reti neurali,Rete neurale e MLP,"Rete neurale: unità (neuroni) connesse da archi PESATI, organizzate in livelli (input, nascosti, output).
MLP (multi-layer perceptron): uno o più strati nascosti con attivazioni NON LINEARI: supera i limiti del perceptron (rappresenta XOR; con un solo strato nascosto abbastanza largo è un approssimatore universale).",rete_neurale|mlp,sisint1
86,both,3,Perceptron e reti neurali,"Gradiente, backpropagation, learning rate, epoca","DISCESA DEL GRADIENTE: aggiorna i pesi nella direzione OPPOSTA al gradiente della funzione di errore.
BACKPROPAGATION: calcola i gradienti propagando l'ERRORE all'indietro, strato per strato (regola della catena).
LEARNING RATE: ampiezza del passo: troppo grande -> oscilla o diverge; troppo piccolo -> convergenza lentissima.
EPOCA: un passaggio completo su tutto il training set.",gradiente|backprop|lr|epoca,sisint1
87,both,3,Perceptron e reti neurali,Funzioni di attivazione,"SIGMOIDE 1/(1+e^-x): output in (0,1), derivabile: storicamente la scelta per la backpropagation.
TANH: output in (-1,1), derivabile.
ReLU max(0,x): output in [0, infinito), lineare a tratti, non derivabile in 0.
GRADINO (step): non derivabile: inutilizzabile con la discesa del gradiente.",sigmoide|attivazione_match,sisint1
88,9,3,Perceptron e reti neurali,CNN e RNN,"CNN (convolutional): filtri convolutivi con pesi condivisi su porzioni locali dell'input; dominio tipico: IMMAGINI.
RNN / LSTM / GRU: stato ricorrente aggiornato a ogni passo: adatte a SEQUENZE (testo, serie temporali). LSTM e GRU mitigano il vanishing gradient.",nn_recenti|nn_recurrent,integrato
89,9,3,Perceptron e reti neurali,Autoencoder,"Rete encoder -> bottleneck -> decoder addestrata a RICOSTRUIRE l'input: il bottleneck è una rappresentazione COMPRESSA dei dati.
Apprendimento senza etichette (auto-supervisionato). Varianti: denoising autoencoder, VAE (generativo).",autoencoder,integrato
90,9,3,Transformer e LLM,Transformer: self-attention ed encoder,"Architettura basata su SELF-ATTENTION MULTI-HEAD: ogni token pesa la rilevanza di tutti gli altri token della sequenza (niente ricorrenza né convoluzioni).
Strato ENCODER = self-attention + rete feed-forward, ciascuna con residual connection e normalizzazione.",nn_transformer|transformer_encoder|transformer_match,sisint1
91,9,3,Transformer e LLM,"Decoder: masking, cross-attention, residual","Lo strato DECODER aggiunge rispetto all'encoder: self-attention MASCHERATA + attention sull'output dell'encoder (cross-attention).
MASCHERAMENTO: la predizione in posizione i non può usare le posizioni FUTURE della sequenza -> generazione autoregressiva, un token alla volta.
RESIDUAL CONNECTION: somma l'INPUT del sottostrato al suo OUTPUT (poi normalizzazione): per questo tutti i sottostrati producono vettori della stessa dimensione.",transformer_decoder|masking_decoder|residual_connection,sisint1
92,9,3,Transformer e LLM,Language model e assunzione di Markov,"LANGUAGE MODEL: distribuzione di probabilità sulle sequenze di parole; predice il token successivo dato il contesto.
Fattorizzazione esatta: P(X1..Xn) = prodotto su i di P(Xi | X1..Xi-1) (chain rule).
Assunzione di MARKOV: approssima la storia con le ULTIME POCHE parole (un bigramma usa solo la precedente: P(wn|wn-1)) -> calcolo trattabile (n-gram).",language_model|lm_sequenza|lm_markov,sisint1
93,9,3,Transformer e LLM,"One-hot, embeddings, semantica distribuzionale, tf-idf","ONE-HOT: vettore lungo |V| con un solo 1: spazialmente enorme e NON coglie la semantica (tutti i vettori sono ortogonali).
EMBEDDING: vettore denso e corto; parole con significato simile -> vettori vicini.
Semantica DISTRIBUZIONALE (Firth): il significato di un termine è dato 'dalla sua compagnia': contesti simili -> significati simili (fondamento degli embeddings).
IDF: i termini che compaiono in POCHI documenti sono i più discriminativi; tf-idf = frequenza nel documento x rarità nella collezione (le stop word valgono poco).",one_hot|embeddings|sem_distribuzionale|tf_idf,sisint1
94,9,3,Transformer e LLM,LLM: architettura e fasi di apprendimento,"LLM (es. GPT): transformer (tipicamente solo decoder) AUTOREGRESSIVO addestrato su corpora enormi di testo.
Fasi, nell'ordine: PRE-TRAINING (impara la lingua) -> FINE-TUNING (impara un compito) -> ALLINEAMENTO (raffina il comportamento) -> VALUTAZIONI.",llm|fasi_llm,sisint1
95,9,3,Transformer e LLM,Bias degli LLM (per fase),"RACCOLTA DATI -> bias di COPERTURA: i dati riguardano una frazione troppo piccola della popolazione.
ANNOTAZIONE -> bias di CONFERMA: l'annotatore processa i dati per confermare le proprie ipotesi.
ADDESTRAMENTO -> OMOGENEITÀ DEL GRUPPO ESTERNO: stereotipare chi appartiene a un gruppo esterno ai dati.
USO -> bias di AUTOMAZIONE: preferire i risultati solo perché generati automaticamente.",bias_match,sisint1
96,9,3,Transformer e LLM,Grounding,"Tre forme: PERCETTIVO (ancoraggio ai sensi), CAUSALE-INFORMATIVO (affordance, conseguenze delle azioni), NORMATIVO-SOCIALE (norme condivise).
Gli appunti osservano che i sistemi artificiali NE SONO PRIVI: gli LLM manipolano testo senza ancoraggio diretto al mondo reale.",grounding_llm,sisint1
97,9,3,IA generativa e clustering,IA generativa: panorama,"Obiettivo: GENERARE nuovi contenuti plausibili (testo, immagini, ...) imparando la distribuzione dei dati.
Architetture e meccanismi: Transformer/LLM -> self-attention multi-head; GAN -> competizione generatore vs discriminatore; modelli di DIFFUSIONE -> denoising progressivo; CNN -> convoluzioni (building block, classicamente discriminativa).",gen_ai|gen_ai_match,integrato
98,9,3,IA generativa e clustering,GAN,"Due reti in COMPETIZIONE: il GENERATORE produce campioni finti, il DISCRIMINATORE distingue i veri dai finti.
Addestramento avversariale: il generatore migliora finché il discriminatore non riesce più a distinguere.",gan,integrato
99,9,3,IA generativa e clustering,Modelli di diffusione,"Generano immagini per DENOISING PROGRESSIVO: partono da rumore puro e rimuovono rumore passo dopo passo fino al campione finale.
Addestramento: imparare a INVERTIRE un processo che aggiunge rumore gradualmente ai dati.",diffusion,integrato
100,9,3,IA generativa e clustering,Clustering e k-means,"CLUSTERING (non supervisionato): raggruppare istanze SIMILI senza etichette.
K-MEANS: (1) scegli k centroidi, (2) assegna ogni punto al centroide più vicino, (3) ricalcola i centroidi come medie dei gruppi, (4) ripeti fino a convergenza.
k è un IPERPARAMETRO: fissato a priori dall'utente, non appreso dall'algoritmo.",clustering_def|kmeans|kmeans_k,integrato
101,9,3,IA generativa e clustering,Apprendimento di sistemi di regole,"Produce modelli simbolici IF condizione THEN classe (es. sequential covering: impara una regola, togli i casi coperti, ripeti).
Vantaggio: interpretabilità. Un sistema di regole equivalente si ottiene anche convertendo un albero di decisione (un cammino = una regola).",reg_learning,integrato
