id,cfu,parte,topic,question,opt_a,opt_b,opt_c,correct,source,explanation
69,both,2,tautologia,Una TAUTOLOGIA è una formula:,sempre vera in ogni interpretazione,sempre falsa in ogni interpretazione,vera in almeno una interpretazione,a,sisint1,In parole povere: Tautologia è quando vera in OGNI interpretazione/modello (esempio: A ∨ ¬A). Concettualmente: verità logica indipendente dal mondo specifico.
70,both,2,contraddizione,Una CONTRADDIZIONE è una formula:,sempre falsa in ogni interpretazione,sempre vera,soddisfacibile,a,sisint1,In parole povere: Contraddizione è quando falsa in ogni interpretazione (es. A ∧ ¬A). Una KB contraddittoria implica tutto (ex falso quodlibet) — pessima!
71,both,2,soddisfacibile,Una formula è SODDISFACIBILE se:,è vera in almeno una interpretazione,è vera in tutte le interpretazioni,non ha modelli,a,sisint1,In parole povere: Soddisfacibile è quando esiste ALMENO un'interpretazione che la rende vera. Diverso da valida (vera in tutte) e da insoddisfacibile (vera in nessuna).
72,both,2,clausola_horn,Una CLAUSOLA DI HORN ha:,almeno due letterali positivi,al più un letterale positivo,nessun letterale negativo,b,sisint1,"In parole povere: Clausola di Horn è quando clausola con AT MOST UN letterale positivo. Forme: solo negativi (¬A∨¬B), una positiva pura (P), regola (¬A∨¬B∨C ≡ A∧B→C). Permette inferenza efficiente lineare (Prolog)."
73,both,2,modus_ponens,Il MODUS PONENS è una regola di inferenza che dato A e A=>B deduce:,not A,B,A and B,b,sisint1,In parole povere: Modus ponens: da A e A→B deduco B. Regola fondamentale della logica deduttiva. Forward chaining la applica iterativamente sui fatti noti.
74,both,2,risoluzione,La RISOLUZIONE per la logica proposizionale è:,corretta ma non completa,corretta e refutation-complete,solo euristica,b,sisint1,In parole povere: Risoluzione proposizionale è REFUTATION-COMPLETE: deriva la clausola vuota da KB ∧ ¬α se e solo se KB ⊨ α. Non genera direttamente TUTTE le conseguenze ma ne verifica una qualsiasi.
75,both,2,refutation,La dimostrazione per REFUTAZIONE di KB |= alpha consiste nel:,mostrare che KB and not alpha è insoddisfacibile,mostrare che KB and alpha è insoddisfacibile,mostrare che alpha è una tautologia,a,sisint1,"In parole povere: Refutazione è quando dimostrare per assurdo. Per provare KB ⊨ α, aggiungo ¬α alla KB e applico risoluzione: se derivo la clausola vuota (contraddizione), allora KB ⊨ α."
76,both,2,forward_chain,Il FORWARD CHAINING (catena in avanti) parte da:,fatti noti e applica regole per derivare nuovi fatti,goal e cerca premesse,una contraddizione,a,sisint1,"In parole povere: Forward chaining è quando data-driven. Parte dai fatti, applica regole le cui premesse sono soddisfatte, deriva nuovi fatti. Si ferma quando non c'è più nulla da derivare o si trova il goal. Efficiente per Horn KB."
77,both,2,backward_chain,Il BACKWARD CHAINING (catena all'indietro) parte da:,fatti iniziali,goal e cerca regole con quel goal come conclusione,assiomi della KB,b,sisint1,"In parole povere: Backward chaining è quando goal-driven. Parte dal goal, cerca regole che lo concludono e tenta di soddisfarne le premesse ricorsivamente. È il modello di Prolog."
78,both,2,fol_intro,La LOGICA DEL PRIM'ORDINE (FOL) si distingue dalla proposizionale perché:,non usa connettivi,"introduce predicati, funzioni, quantificatori e variabili",è meno espressiva,b,sisint1,"In parole povere: FOL aggiunge: variabili, quantificatori (∀, ∃), predicati n-ari, funzioni. È strettamente più espressiva della proposizionale (può parlare di oggetti, non solo proposizioni atomiche)."
79,both,2,fol_quant,Il quantificatore UNIVERSALE forall x P(x) significa:,esiste almeno un x tale che P(x),per ogni x vale P(x),vale P solo per x noti,b,sisint1,"In parole povere: ∀x P(x): per QUALSIASI scelta di x nel dominio, P(x) è vera. Universale è quando afferma una proprietà comune a tutto il dominio."
80,both,2,fol_quant,Il quantificatore ESISTENZIALE exists x P(x) significa:,per ogni x vale P(x),esiste almeno un x tale che P(x),non vale mai P,b,sisint1,In parole povere: ∃x P(x): esiste ALMENO UN x nel dominio per cui P(x) è vera. Non specifica quale. Si combinano nidificandoli (∀x ∃y ≠ ∃y ∀x).
81,both,2,ground,Una formula GROUND è:,una formula senza variabili (solo costanti),una clausola di Horn,una formula in CNF,a,sisint1,"In parole povere: Formula ground è quando senza variabili libere o legate, solo costanti e funzioni applicate a costanti. È una formula 'concretamente vera o falsa' una volta fissata l'interpretazione."
82,both,2,unificazione,La SOSTITUZIONE che rende uguali due espressioni atomiche è detta:,interpretazione,unificatore,modello,b,sisint1,"In parole povere: Unificatore è quando sostituzione θ che, applicata a due espressioni (es. atomi), le rende sintatticamente identiche. Es: θ={x/John} unifica P(x) con P(John)."
83,both,2,unificazione,L'UNIFICATORE PIÙ GENERALE (MGU) è:,un unificatore qualsiasi,un unificatore tale che ogni altro unificatore può essere ottenuto da esso per ulteriore sostituzione,sempre vuoto,b,sisint1,In parole povere: MGU (Most General Unifier) è l'unificatore meno specifico: ogni altro unificatore può essere ottenuto da MGU per ulteriore sostituzione. L'algoritmo di unificazione di Robinson trova sempre l'MGU se esiste.
84,9,2,lifting,Il LIFTING della risoluzione consente di:,applicare la risoluzione proposizionale alla logica del prim'ordine tramite unificazione,eliminare i quantificatori esistenziali,sostituire la KB con un grafo,a,risol_FOL,"In parole povere: Lifting è quando trasportare la risoluzione dalla proposizionale alla FOL: invece di chiedere uguaglianza tra letterali opposti, si chiede unificabilità tramite un MGU, che viene poi applicato alla clausola risolvente."
85,9,2,refutation_complete,La risoluzione binaria con fattorizzazione in FOL è:,completa nel senso di derivare tutte le conseguenze logiche,refutation-complete,solo corretta ma non refutation-complete,b,risol_FOL,In parole povere: Binary resolution + factoring (collassare letterali unificabili) è REFUTATION-COMPLETE in FOL: se KB ⊨ α allora la risoluzione deriva la clausola vuota da KB ∧ ¬α (Robinson 1965).
86,9,2,skolem,La SKOLEMIZZAZIONE serve a:,eliminare le costanti,eliminare i quantificatori esistenziali introducendo costanti o funzioni di Skolem,trasformare in DNF,b,aima_ch9,"In parole povere: Skolemizzazione: rimuove ∃ introducendo costanti (se ∃ è esterno) o funzioni di Skolem dipendenti dalle ∀ a sinistra. Es: ∀x ∃y Ama(x,y), quindi ∀x Ama(x, f(x)). Preserva soddisfacibilità (ma NON equivalenza)."
87,both,2,kb,Una KNOWLEDGE BASE (KB) è:,solo un insieme di fatti,una collezione di formule che rappresentano conoscenza del mondo,un albero di ricerca,b,sisint1,"In parole povere: KB è quando insieme strutturato di formule (assiomi, regole, fatti) che rappresenta conoscenza in un dominio. Cuore di un sistema basato su conoscenza/inferenza."
88,both,2,query,Interrogare una KB significa:,modificare la KB,chiedere se una formula segue logicamente dalla KB,resettare il motore inferenziale,b,sisint1,In parole povere: Interrogare è quando chiedere se una formula α è conseguenza logica della KB (KB ⊨ α?). Non si modifica la KB; si applica un motore inferenziale.
89,both,2,tassonomia,Una TASSONOMIA è:,una rete neurale gerarchica,un'organizzazione gerarchica di categorie/concetti,un algoritmo di pianificazione,b,sisint1,In parole povere: Tassonomia è quando struttura ad albero di categorie collegate da relazioni di sotto/super-classe (is-a). Ogni categoria eredita proprietà dai padri. Esempio: regno animale.
90,both,2,is_a,"Il predicato IS-A(X,Y) tipicamente esprime che:",X è istanza di Y,X è sottocategoria di Y,X è un attuatore di Y,b,ontologie,"In parole povere: Is-a(A,B) tipicamente indica che A è SOTTOCLASSE di B (relazione tra categorie). Diverso da Member, che è relazione istanza-categoria."
91,both,2,member,"Il predicato MEMBER(X,C) esprime che:",X è una sottoclasse di C,X è istanza (elemento) della categoria C,X è una proprietà di C,b,ontologie,"In parole povere: Member(X,C) è quando X è un'ISTANZA (elemento) della categoria C. È relazione individuo-categoria. Diverso da Is-a (categoria-categoria)."
92,both,2,ereditarieta,"Nell'ereditarietà di una tassonomia, le sottoclassi:",non ereditano nulla,ereditano le proprietà delle sovraclassi,sovrascrivono sempre le proprietà,b,ontologie,"L'ereditarietà è come la genetica: se definisci che la classe 'Uccelli' sa volare, tutte le sottoclassi (Pappagallo, Aquila) 'ereditano' automaticamente la capacità di volare senza doverlo riscrivere."
93,9,2,disjoint,Disjoint(S) per un insieme di categorie S vale quando:,tutte le categorie hanno almeno un'istanza,le categorie in S non hanno istanze comuni,le categorie sono identiche,b,ontologie,"In parole povere: Disjoint(S) significa che le categorie in S non hanno istanze in comune (mutua esclusione). Es: {Cane, Gatto} sono disgiunte come categorie di mammiferi domestici."
94,9,2,exhaustive,"ExhaustiveDec(S,C) significa che:",le categorie in S coprono tutte le istanze di C,S è disgiunto,S contiene una sola categoria,a,ontologie,"In parole povere: ExhaustiveDec(S,C) è quando ogni istanza di C appartiene ad almeno una categoria di S (decomposizione che copre tutto C, ma può avere sovrapposizioni)."
95,9,2,partition,"Una PARTITION(S,C) è:","un insieme S tale che Disjoint(S) and ExhaustiveDec(S,C)",un insieme di sottoclassi qualsiasi,una decomposizione non esaustiva,a,ontologie,Creare una 'Partizione' significa dividere un gruppo in categorie che non si accavallano mai (un elemento sta in una e una sola categoria) e che coprono tutti (nessuno resta fuori).
96,9,2,part_of,La relazione PART-OF gode della proprietà:,riflessiva,transitiva,antisimmetrica solo,b,ontologie,"In parole povere: Part-of è transitiva: se A è parte di B e B è parte di C, allora A è parte di C. Esempio: dito, quindi mano, quindi braccio, quindi corpo. NON è riflessiva (X non è parte di se stessa)."
97,9,2,bunch_of,"Bunch-of({a,b,c}):","è una categoria con istanze a,b,c","è un oggetto composto dalle parti a,b,c senza specificare le relazioni",è il prodotto cartesiano di tre insiemi,b,ontologie,"In parole povere: Bunch-of({a,b,c}) è quando oggetto composto dalle parti elencate, senza specificare le relazioni interne (a differenza di un'aggregazione strutturata). Es: un mucchio di pietre."
98,9,2,tbox_abox,La T-BOX di un'ontologia contiene:,fatti su singole istanze,"definizioni intensionali, specializzazioni e proprietà generali",query dell'utente,b,ontologie,"La T-Box (Terminological box) è come il 'vocabolario' del sistema: contiene le definizioni generali (es. 'Tutti gli cani hanno 4 zampe') e le regole astratte, senza preoccuparsi dei singoli individui."
99,9,2,tbox_abox,La A-BOX di un'ontologia contiene:,definizioni generali,fatti su singole istanze (estensionali),la struttura tassonomica,b,ontologie,In parole povere: A-box (Assertional box) è quando parte pratica/sui singoli individui: fatti su istanze specifiche (Pongo è un Dalmata). Deve essere coerente con la T-box (terminologicamente).
100,9,2,eccezioni,Le ECCEZIONI in un'ontologia con eredità possono:,solo aggiungere proprietà,cancellare proprietà ereditate,modificare i quantificatori,b,ontologie,Come in natura ci sono le eccezioni: i pinguini sono uccelli ma non volano. Nei sistemi possiamo 'cancellare' o sovrascrivere una regola generale per una classe specifica.
101,both,2,ontologia,Un'ONTOLOGIA si differenzia da una TASSONOMIA perché:,è un caso particolare di tassonomia,è una struttura più generale (un grafo) che include anche relazioni non gerarchiche,non contiene categorie,b,ontologie,"In parole povere: Ontologia è quando grafo generale di concetti e relazioni (anche non gerarchiche: part-of, causes, ecc.). Tassonomia è quando caso particolare ad albero, con sole relazioni di sotto-classe."
102,both,2,owl,OWL è:,un linguaggio per ontologie del semantic web,un algoritmo di ricerca,una variante di RDF senza schema,a,sisint1,"In parole povere: OWL (Web Ontology Language) è quando linguaggio standard W3C per ontologie del semantic web. Basato su RDF, descrive classi, proprietà, individui con espressività descrizione-logica."
103,both,2,rdf,Nel modello RDF la conoscenza è espressa come:,coppie chiave-valore,triple soggetto-predicato-oggetto,liste di nodi,b,sisint1,"In parole povere: RDF rappresenta conoscenza come TRIPLE soggetto-predicato-oggetto. Es: <Pongo, hasOwner, Pongo's owner>. Un insieme di triple è un grafo RDF (nodi=entità, archi=predicati)."
104,both,2,situation_calc,"Nel SITUATION CALCULUS, un FLUENTE è:",una costante che non cambia,una relazione/proprietà che può cambiare valore in seguito alle azioni,una funzione di utilità,b,sisint1,"In parole povere: Fluente è quando predicato/relazione che dipende dalla situazione (cambia nel tempo). Es: Holds(At(Robot,L), s). Si denota esplicitamente la situazione s come argomento."
105,both,2,assioma_appl,L'assioma di APPLICABILITÀ esprime che:,un'azione è applicabile in una situazione se le precondizioni sono vere,ogni azione è sempre applicabile,nessuna azione è applicabile,a,sisint1,"In parole povere: Assioma di applicabilità: ∀params,s Applicable(Action(params), s) ⇔ Precond(params, s). Definisce quando un'azione si può eseguire (precondizioni soddisfatte nella situazione corrente)."
106,both,2,assioma_eff,L'assioma di EFFETTO descrive:,le precondizioni di un'azione,gli effetti di un'azione nello stato risultante,la durata dell'azione,b,sisint1,"In parole povere: Assioma di effetto descrive cosa CAMBIA dopo l'azione: cosa è vero in Result(Action, s). Es: dopo Pickup(blocco) vale Holding(blocco). Non basta: c'è anche il frame problem."
107,both,2,frame_problem,Il FRAME PROBLEM consiste nel:,non sapere quali azioni applicare,specificare ciò che NON cambia in seguito a un'azione,calcolare l'utilità,b,sisint1,In parole povere: Frame problem: come specificare che TUTTO IL RESTO non cambia? Non basta dire cosa cambia: serve dichiarare implicitamente o esplicitamente la persistenza degli altri fluenti.
108,both,2,frame_axiom,L'ASSIOMA DI FRAME serve a:,specificare che un fluente che non è effetto di un'azione mantiene il proprio valore,sostituire la funzione successore,aggiungere effetti collaterali,a,sisint1,"In parole povere: Assioma di frame: per ogni fluente, dice che se nessun effetto lo modifica, mantiene il valore. Approccio classico: un assioma per ogni coppia (fluente, azione). Russell-McCarthy successor-state axioms compattano."
109,both,2,sussman,L'ANOMALIA DI SUSSMAN illustra che:,i sottogoal sono sempre indipendenti,perseguire un sottogoal può disfare un altro già raggiunto,la pianificazione è sempre lineare,b,sisint1,In parole povere: Anomalia di Sussman: perseguire un sottogoal può disfare un sottogoal già risolto (esempio classico con tre blocchi). Mostra che la pianificazione non sempre è lineare/sequenziale.
110,both,2,pddl,PDDL è:,"un linguaggio per esprimere problemi di planning (stati, azioni, obiettivi)",un'algoritmo di ricerca informata,una rete neurale,a,sisint1,"In parole povere: PDDL (Planning Domain Definition Language) standardizza la rappresentazione di problemi di planning: stati come fluenti, azioni con precondizioni ed effetti, goal. Usato in competizioni IPC."
111,both,3,agente_razionale,Un agente RAZIONALE:,raggiunge sempre il risultato desiderato,massimizza l'utilità attesa data la sua conoscenza,è onnisciente,b,sisint1,In parole povere: Agente razionale (Russell-Norvig): sceglie l'azione che MASSIMIZZA L'UTILITÀ ATTESA data la sua percezione/conoscenza. Razionalità ≠ onniscienza: razionale può ancora sbagliare per limiti di info.
112,both,3,reattivo,Un agente REATTIVO SEMPLICE:,pianifica sequenze di azioni,sceglie l'azione in base solo alla percezione corrente (regole IF-THEN),mantiene un modello del mondo,b,sisint1,"In parole povere: Reattivo semplice: input è quando percezione corrente, output è quando azione (regole IF-THEN-ELSE). Niente memoria né modello. Veloce ma cieco se servono stati passati."
113,both,3,model_based,Un agente BASATO SU MODELLO:,non considera la storia,mantiene uno stato interno che riflette gli aspetti non osservati dell'ambiente,è equivalente a un reattivo semplice,b,sisint1,In parole povere: Basato su modello: mantiene uno STATO INTERNO che riflette aspetti non osservati. Aggiorna lo stato in base a percezioni + modello di transizione. Necessario in ambienti parzialmente osservabili.
114,both,3,goal_driven,Un agente GOAL-DRIVEN:,sceglie l'azione in base a un obiettivo da raggiungere,massimizza una funzione di utilità,non considera lo stato del mondo,a,sisint1,"In parole povere: Goal-driven: ha un obiettivo esplicito. Sceglie azioni che lo avvicinano al goal (può usare planning). Più flessibile di reattivi puri: cambi goal, quindi cambi comportamento."
115,both,3,utility_driven,Un agente UTILITY-DRIVEN:,usa solo regole reattive,sceglie l'azione massimizzando una funzione di utilità,non ha conoscenza del mondo,b,sisint1,In parole povere: Utility-driven: ha una funzione di utilità sugli stati. Sceglie azioni che massimizzano l'utilità attesa. Permette di scegliere tra goal in conflitto (trade-off) e gestire incertezza.
116,both,3,agente_apprende,Un agente CAPACE DI APPRENDERE include un componente:,modulo critico che valuta le prestazioni dell'agente,solo un attuatore,sostituisce ogni decisione con scelte casuali,a,sisint1,"In parole povere: Agente che apprende ha 4 componenti: elemento di esecuzione, elemento di apprendimento, MODULO CRITICO (valuta prestazioni e fornisce feedback), generatore di problemi (esplorazione)."
117,both,3,classificazione,La CLASSIFICAZIONE consiste nel:,raggruppare istanze senza etichette,assegnare un'istanza a una classe predefinita,risolvere CSP,b,sisint1,In parole povere: Classificazione è quando assegnare un'istanza a una classe da un insieme PREDEFINITO di classi. Apprendimento supervisionato (training con classi note). Diverso da clustering (no etichette) e regressione (output continuo).
118,both,3,supervisionato_def,Apprendimento SUPERVISIONATO significa:,non si conosce alcuna informazione su istanze,gli esempi del learning set hanno la classe associata,si massimizza solo l'entropia,b,sisint1,"In parole povere: Supervisionato è quando i dati di training contengono coppie (input, classe). L'algoritmo impara la mappa input→classe. Apprendimento 'guidato' dalle etichette."
119,9,3,non_supervisionato,Apprendimento NON SUPERVISIONATO (clustering) significa:,gli esempi hanno etichette,si raggruppano istanze sulla base di somiglianza senza etichette di classe,si massimizza l'errore,b,integrato,"In parole povere: Non supervisionato (clustering) è quando senza etichette di classe. L'algoritmo trova STRUTTURE/GRUPPI naturali nei dati basandosi su similarità. Esempi: k-means, gerarchico, DBSCAN."
120,both,3,training_test,Il TEST SET è usato per:,addestrare il modello,valutare le prestazioni del modello su dati non visti,definire le classi,b,sisint1,In parole povere: Test set è quando dati MAI VISTI durante training. Serve per stimare la generalizzazione del modello (prestazioni su dati nuovi). Confonderlo con training porta a stime ottimistiche.
121,both,3,accuratezza,L'ACCURATEZZA è definita come:,predizioni corrette / predizioni totali,errori / predizioni corrette,1 - precision,a,sisint1,"In parole povere: Accuratezza è quando (TP+TN)/totale è quando predizioni corrette / totale. Misura globale di prestazione, sensata se le classi sono bilanciate. Su classi sbilanciate, va integrata con precision/recall."
122,both,3,error_rate,Il TASSO D'ERRORE (error rate) è:,1 - accuratezza,predizioni totali / predizioni corrette,solo per regressione,a,sisint1,In parole povere: Error rate è quando 1 − accuratezza è quando predizioni sbagliate / totale. Spesso più intuitivo quando vuoi minimizzare l'errore.
123,both,3,matrice_costi,La MATRICE DEI COSTI in un classificatore:,è uguale alla matrice di confusione,associa un costo a ogni tipo di errore o predizione corretta,è una rete neurale,b,sisint1,"In parole povere: Matrice dei costi: a ogni cella (classe_reale, classe_predetta) associa un costo. Permette di pesare diversamente gli errori (es. falso negativo medico più grave del falso positivo)."
124,both,3,rote_learning,L'apprendimento per ROTE (apprendimento meccanico):,memorizza istanze e confronta nuove istanze per trovarne di identiche o simili,non usa memoria,addestra reti neurali profonde,a,sisint1,In parole povere: Rote learning è quando memorizzare le istanze. Su nuova istanza cerca quella identica (o più simile via distanza). Semplice ma limitato; antenato di k-NN.
125,both,3,votazione_maggioranza,Nella votazione a MAGGIORANZA per classificazione:,vince la classe meno votata,vince la classe più votata,si pesano i voti con l'entropia,b,sisint1,"In parole povere: Voto a maggioranza: tra i vicini più simili, si conta la classe più frequente. Approccio base di k-NN. Adatto per classi discrete."
126,both,3,votazione_pesata,Nella votazione PESATA:,tutti i voti hanno lo stesso peso,i voti hanno peso variabile in base alla distanza/somiglianza fra istanze,si ignorano i voti distanti,b,sisint1,In parole povere: Voto pesato: ogni vicino contribuisce con un peso inversamente proporzionale alla distanza. Più vicino è quando più peso. Riduce l'influenza dei vicini lontani.
127,both,3,alberi_decisione,Un ALBERO DI DECISIONE è caratterizzato da:,nodi interni che rappresentano test su attributi e foglie che rappresentano classi,nodi solo etichettati con classi,foglie che contengono altri sotto-alberi sempre,a,sisint1,"In parole povere: Albero di decisione: nodi interni testano un attributo, archi è quando valori dell'attributo, foglie è quando classe predetta. Modello interpretabile, ottenuto top-down con algoritmi tipo Hunt/ID3/C4.5."
128,both,3,hunt,L'algoritmo di HUNT costruisce alberi di decisione:,bottom-up dalle foglie,top-down dividendo ricorsivamente il learning set secondo un attributo,senza scelta di split,b,sisint1,"In parole povere: Hunt: ricorsivo, top-down. (1) Se istanze nel nodo sono pure, quindi foglia. (2) Altrimenti scegli attributo migliore, splitta, ricorsivo sui figli. Variazioni differiscono nel criterio di scelta dell'attributo (gain)."
129,both,3,attributi,Quali tipi di attributi NON è tipico in un albero di decisione?,binari,nominali,continui (ma con discretizzazione/test su soglie),a,sisint1,"In parole povere: Continui sono tipici negli alberi di decisione MA richiedono discretizzazione/scelta di soglie. Binari, nominali, ordinali sono direttamente trattabili. La distrazione 'continui' come 'non tipico' è giustificata solo se intendiamo nativi senza preprocessing."
130,both,3,entropia,L'ENTROPIA di un nodo è:,una misura del grado di confusione (impurità) dell'insieme di istanze al nodo,sempre 1,la dimensione dell'insieme,a,sisint1,"In parole povere: Entropia(t) è quando -Σ p(i|t) log₂ p(i|t). Misura l'IMPURITÀ del nodo: 0 se tutte istanze stessa classe, max è quando log₂(c) se uniforme. Negli split si minimizza l'entropia attesa."
131,both,3,gain,L'INFORMATION GAIN di uno split è:,la differenza tra l'impurità del padre e la media pesata delle impurità dei figli,la dimensione del sotto-albero,zero per ogni split utile,a,sisint1,In parole povere: Information gain è quando entropia(padre) - Σ (|figlio|/|padre|) × entropia(figlio). Misura quanto un attributo RIDUCE l'incertezza. Si sceglie l'attributo con gain massimo.
132,both,3,occam,Il RASOIO DI OCCAM in machine learning suggerisce di preferire:,modelli più complessi a parità di prestazioni,modelli più semplici a parità di prestazioni,modelli con maggior numero di parametri,b,sisint1,"In parole povere: Occam: a parità di prestazioni, preferisci il modello PIÙ SEMPLICE (minor numero di assunzioni). Negli alberi: meno nodi a parità di accuratezza. Riduce overfitting e migliora interpretabilità."
133,both,3,overfitting,L'OVERFITTING in un albero di decisione si manifesta quando:,il modello generalizza bene su test set,il modello aderisce troppo al training set perdendo capacità di generalizzazione,l'albero è troppo piccolo,b,sisint1,"In parole povere: Overfitting: alta accuratezza su training, scarsa su test. Il modello ha imparato anche il rumore. Tipico in alberi troppo profondi, reti troppo grandi, training set piccolo."
134,both,3,prepruning,Il PREPRUNING:,potatura applicata dopo la costruzione completa,interrompe la crescita dell'albero quando il guadagno non supera una soglia,non riduce overfitting,b,sisint1,In parole povere: Prepruning: interrompe lo split se il gain è sotto soglia o se il nodo è troppo piccolo. Previene overfitting MA può fermarsi troppo presto (sotto-apprendimento).
135,both,3,postpruning,Il POSTPRUNING:,si applica al modello già addestrato eliminando rami poco utili,interrompe l'addestramento prima del termine,è un metodo di clustering,a,sisint1,"In parole povere: Postpruning: prima costruisci albero completo, poi POTI i rami che non migliorano prestazioni stimate (es. tramite validation set o pessimistic error). Più costoso ma più affidabile del prepruning."
136,both,3,mdl,Il MINIMUM DESCRIPTION LENGTH (MDL) seleziona modelli che minimizzano:,solo l'errore sul training set,la lunghezza combinata di modello + errori,solo il numero di parametri,b,sisint1,In parole povere: MDL (Minimum Description Length): seleziona il modello che minimizza L(modello) + L(dati|modello). Bilancia complessità del modello e errore sui dati. Formalizza il rasoio di Occam.
137,both,3,perceptron,Il PERCEPTRON di Rosenblatt calcola:,una combinazione lineare pesata degli ingressi seguita da una funzione di attivazione,una media geometrica,una trasformata di Fourier,a,sisint1,"In parole povere: Perceptron: net è quando Σwᵢxᵢ, output è quando f(net) con f è quando funzione di attivazione (originariamente gradino, poi sigmoide). Calcola una soglia su una combinazione lineare degli input."
138,both,3,perceptron_xor,Un perceptron lineare singolo NON è in grado di rappresentare:,la funzione AND,la funzione OR,la funzione XOR,c,sisint1,"In parole povere: Perceptron a singolo strato risolve solo problemi LINEARMENTE SEPARABILI. XOR non lo è (no iperpiano che separa (0,1),(1,0) da (0,0),(1,1)). Limite famoso evidenziato da Minsky&Papert."
139,both,3,sigmoide,La funzione SIGMOIDE 1/(1+exp(-a(net-θ))):,è discontinua,è una funzione di attivazione derivabile usata in MLP,è una funzione di costo,b,sisint1,"In parole povere: Sigmoide σ(x) è quando 1/(1+e^(-x)): differenziabile, output (0,1), comportamento simile al gradino ma 'liscio'. Permette backpropagation (gradient computable)."
140,both,3,mlp,Un MULTI-LAYER PERCEPTRON (MLP):,ha un solo neurone,ha topologia a strati con strati hidden tra input e output,è equivalente al perceptron singolo,b,sisint1,"In parole povere: MLP è quando perceptron multistrato con uno o più strati hidden tra input e output. Connessioni feed-forward, attivazioni non lineari. Universal approximator (Cybenko 1989)."
